resnet50_loss,resnet101_loss
156.42021519330146,158.37044640522834
115.66949378194452,126.7013182119205
91.13781104480015,136.62918914719677
190.2892638377501,213.8229039304071
167.28581508078213,159.3457346662186
219.43749823495202,210.00033090368873
133.73197124934686,139.1212147525921
159.30941831789386,141.38744253511106
139.18971397336705,155.83842469305284
174.98111119591252,173.05473619905803
240.03192619466537,136.7612772620497
142.31187246146763,123.47853856483714
132.31102493426997,157.96008152496995
127.06133823018337,182.105067830372
193.60147810747466,253.29036232259799
144.07469729727234,174.65816996131744
190.04246119449283,155.1402449071381
201.47073506409095,106.11734185750096
240.58213636341858,324.05735354726835
205.4433504129341,206.75666994589267
132.65720493755808,230.0327963897257
228.627037626518,263.709870733144
190.06293904759795,206.671543772243
176.39416105371305,176.8358028869812
203.8012790165968,194.43443393890144
153.2331898480013,164.11778056582997
190.879519950794,229.8767689880696
146.92126257359394,104.38190988071597
176.290426599745,211.07977966974164
183.69731973802052,178.89610532086968
169.7122799407195,161.03992663690116
157.51256555605102,170.1988602504091
189.20076674954367,142.73086947973266
139.2124905961663,128.3540071537276
135.13044437854055,153.283736427577
143.77987380665704,134.8716411947595
186.66441847443923,150.24536255806146
185.74024923892017,205.74398660013043
157.73649475049552,184.1718636927626
113.89907988293214,128.34300410648572
146.141828879342,175.95450179340142
141.54816034863282,164.36012702181142
222.6639715271649,236.82343371185254
265.8954006558873,248.4866678160704
152.29794153119548,147.7593808785324
212.43324982257724,189.09691258179916
175.6147466745379,217.6867638505704
149.4349874334624,116.20702088433754
175.77794026333862,123.97420794358662
199.0210617906284,260.34326383765597
286.3326164211252,169.59291296843898
191.14032491659646,160.34692974899988
135.97141717931478,148.04947263397545
217.7276759369087,208.5623262993078
145.85595794628412,125.85226478260456
164.92173497573344,133.93341285373305
187.03007575375733,185.95379653166927
123.940526301679,174.11757153373117
214.7225330580433,213.89371568337097
171.04738190361863,129.24186520698063
182.00078291675962,240.7044586057736
186.32538986030468,215.7964895638879
156.94734485487731,163.74187224084488
159.1217623381975,195.45755778670963
182.6212214876902,142.5240655233921
140.80292289314332,164.291941239317
163.0368136632669,203.458353481491
139.70823809089876,169.2705448967817
224.52400990090263,224.5004094678412
137.21278383114637,164.579567689057
140.3515031325276,137.25437860936114
186.11826988229512,167.00907088867692
251.12018287123212,222.35134265867038
190.20309779718016,162.15412463315002
204.1934059658857,184.93523483057345
170.1313222036389,154.3180341982774
185.8513725928901,137.15065107787342
147.60948862243546,184.5565158641894
164.94946148516814,198.2117317043144
131.87560778750364,103.37404521034935
193.85066946220246,162.7244085522815
151.84933169470153,159.10365311995415
204.55679643862018,197.88508812242947
159.5551610750599,192.32354021208118
169.81434361886733,166.8658375402148
159.15450931476886,269.9231790909526
219.71520805597862,212.2835107652877
387.2082423559395,357.66213479899767
107.91259594137236,201.35172768191768
170.87887158143937,200.27180679815814
158.2817330770759,201.20917845527714
135.50792297165526,181.05046913440756
136.91444438326894,229.85508237873285
152.71809250413241,178.98357158381268
193.59635717365205,169.0779803299789
164.43032930792387,195.77456034383889
136.0891649827607,167.43653575641204
141.951316839858,175.1374766721716
140.6990613995492,154.64764669143298
154.11668851007713,218.8753246284032
