xception_loss,resnet50_loss,inceptionV3_loss
200.56501197392606,156.42021519330146,182.93610813578846
242.54516230869373,115.66949378194452,219.81074461282032
209.8439842585549,91.13781104480015,222.58745695674872
320.9864045031713,190.2892638377501,299.6783853203782
325.3579605173935,167.28581508078213,208.5590392845152
241.5665182466941,219.43749823495202,261.2554244011785
193.04654414411132,133.73197124934686,171.88944038767931
233.03908016667708,159.30941831789386,209.49643927566285
142.2293757640521,139.18971397336705,152.67187219440274
175.80324480527722,174.98111119591252,210.22447271869046
271.8566028747653,240.03192619466537,259.2806501912319
150.6541594179768,142.31187246146763,143.65145576145986
240.5972139199144,132.31102493426997,218.81929300210618
244.70264759902787,127.06133823018337,226.30112644315207
240.78360864820183,193.60147810747466,233.2411662295609
368.2587280623147,144.07469729727234,317.6748575957938
206.40317940520248,190.04246119449283,239.31904982467125
242.1631408215857,201.47073506409095,277.4111842120414
249.8864844588754,240.58213636341858,253.37735389809183
219.45631029971045,205.4433504129341,177.21135120774673
233.58962681554988,132.65720493755808,203.3678339130677
402.7704116532762,228.627037626518,377.17859291284583
283.94322811557856,190.06293904759795,316.30142637685503
241.50562475416902,176.39416105371305,267.06695017543774
267.1217254960509,203.8012790165968,282.5977756352143
208.61960273995288,153.2331898480013,179.6930550017081
271.43181266566626,190.879519950794,259.91454079339746
191.6962291150752,146.92126257359394,189.0934427332462
239.374860599718,176.290426599745,216.12624428925974
222.57559959471573,183.69731973802052,243.4491564361069
197.56109290278155,169.7122799407195,138.157458605959
138.02197161089123,157.51256555605102,144.65625870586234
144.46174350271218,189.20076674954367,115.52191171194957
179.30465716702255,139.2124905961663,166.612396602471
147.45237554868163,135.13044437854055,155.10214256475288
167.31567323373469,143.77987380665704,169.77931906448075
373.39434910828317,186.66441847443923,327.77216888414864
261.65289049411456,185.74024923892017,241.0758718860017
302.7454600834318,157.73649475049552,254.68219692687248
179.7212411786139,113.89907988293214,123.85429021606619
249.56746021586395,146.141828879342,220.91079376593902
287.4964016454301,141.54816034863282,231.09783720406026
294.63779420131334,222.6639715271649,241.08330244134717
345.38911390917417,265.8954006558873,318.1393455766562
370.847803580637,152.29794153119548,313.2274981914519
236.64991005144933,212.43324982257724,333.62398614880345
330.3253108271891,175.6147466745379,248.8991924470984
95.1125574411558,149.4349874334624,103.52615332489704
338.0943668394456,175.77794026333862,243.16178793555665
228.21530028331523,199.0210617906284,196.298364358428
441.12508781633596,286.3326164211252,426.98418814752716
236.48252176191312,191.14032491659646,241.83100404095887
208.01950101418484,135.97141717931478,191.07521148569847
240.87508199117545,217.7276759369087,220.1655092391182
187.06167435822587,145.85595794628412,139.16223601647823
258.1329153111687,164.92173497573344,229.97722126631717
246.4359103104415,187.03007575375733,223.9494688143385
192.11411898590686,123.940526301679,170.20696657493602
169.70729177718243,214.7225330580433,187.65438411720015
208.2402794964053,171.04738190361863,170.65066027668283
256.751770079944,182.00078291675962,251.40315202669294
326.97144445282885,186.32538986030468,296.5101204672244
277.81930091983213,156.94734485487731,218.90280731440845
228.29970107881462,159.1217623381975,185.63386788286704
202.62339942511676,182.6212214876902,198.28708134854327
157.06000169013618,140.80292289314332,208.92989392481297
249.5731295065289,163.0368136632669,240.24116483743146
207.91211154805816,139.70823809089876,177.68746341199827
339.9102955259788,224.52400990090263,334.87824785498384
271.6573648313679,137.21278383114637,208.79112151605025
84.22513549887061,140.3515031325276,67.73721183839129
266.3978809907711,186.11826988229512,273.851996001463
341.16728700610884,251.12018287123212,319.7193844186839
292.6250715850239,190.20309779718016,259.698983915602
241.28033172533947,204.1934059658857,159.01070896515273
228.2944468161017,170.1313222036389,202.18918047247465
235.17091989755573,185.8513725928901,246.71781704441673
246.80539970231519,147.60948862243546,192.33914296914315
154.9537843382721,164.94946148516814,123.67735009467457
220.71859410241817,131.87560778750364,166.11080590865083
204.61472347935924,193.85066946220246,182.48469279829646
149.1194884679233,151.84933169470153,150.55867487838208
105.32063823953688,204.55679643862018,116.44545645273126
276.0441939421054,159.5551610750599,323.41354521741425
295.13363016349257,169.81434361886733,150.0696809178076
306.2810498961844,159.15450931476886,270.05202452036417
321.4736392243377,219.71520805597862,297.11071257280173
420.44156289643473,387.2082423559395,392.2965972044152
276.48719252828806,107.91259594137236,187.7925893489591
327.3857100140009,170.87887158143937,242.72396655524452
196.1909121967683,158.2817330770759,138.9602054776844
308.6629659201893,135.50792297165526,280.81173946699784
229.4536590124797,136.91444438326894,187.43805498041493
339.3650029357167,152.71809250413241,173.5379932896968
183.91445160905232,193.59635717365205,155.77309673464168
246.64611591616364,164.43032930792387,233.2147148360693
237.3553389826664,136.0891649827607,214.15773351675045
262.78953592048333,141.951316839858,190.1879861691142
128.7150848180632,140.6990613995492,93.59675604926926
226.08310869402496,154.11668851007713,227.15673597717696
