mse_loss,resnet50_loss
142.96896137431727,156.42021519330146
106.4206526912261,115.66949378194452
88.28152455359917,91.13781104480015
211.96691698802087,190.2892638377501
189.43629872640045,167.28581508078213
242.55507952340233,219.43749823495202
201.66011164624948,133.73197124934686
199.4383154566675,159.30941831789386
121.63925430608678,139.18971397336705
149.82598013131397,174.98111119591252
205.04552249574607,240.03192619466537
127.42377600579347,142.31187246146763
190.2397878760432,132.31102493426997
137.11633720142072,127.06133823018337
224.69209629260257,193.60147810747466
143.65764129382413,144.07469729727234
201.10961890246068,190.04246119449283
140.5144269372003,201.47073506409095
279.02396556962435,240.58213636341858
183.96045811722743,205.4433504129341
238.62048208352286,132.65720493755808
270.058262638142,228.627037626518
249.16667572758428,190.06293904759795
174.94277022096318,176.39416105371305
242.2066296774732,203.8012790165968
154.00477747525727,153.2331898480013
170.55236691991354,190.879519950794
85.0274533842385,146.92126257359394
195.60071309978542,176.290426599745
126.45992523747879,183.69731973802052
159.34279224610657,169.7122799407195
170.4352994812259,157.51256555605102
163.03222543813362,189.20076674954367
184.40391212299068,139.2124905961663
153.6252553794608,135.13044437854055
174.9673918155811,143.77987380665704
133.42192719443776,186.66441847443923
193.2449463790561,185.74024923892017
170.51238168085206,157.73649475049552
211.39384574533597,113.89907988293214
186.16192453176902,146.141828879342
235.29431001132596,141.54816034863282
206.53176402681981,222.6639715271649
149.9144824510204,265.8954006558873
224.20834108174682,152.29794153119548
179.7948836868737,212.43324982257724
213.08829027277068,175.6147466745379
96.92400125524985,149.4349874334624
181.20780460449882,175.77794026333862
212.08524597014028,199.0210617906284
183.0467588122741,286.3326164211252
152.67838360053216,191.14032491659646
168.29631652984773,135.97141717931478
227.9779802288176,217.7276759369087
186.29187861510067,145.85595794628412
171.7766116855386,164.92173497573344
211.4923605769176,187.03007575375733
147.38746159547358,123.940526301679
220.4418949495211,214.7225330580433
193.9249225013473,171.04738190361863
214.7304658102001,182.00078291675962
233.11775346683896,186.32538986030468
144.71840652588423,156.94734485487731
208.46856358476631,159.1217623381975
125.53939709830375,182.6212214876902
104.3986236510706,140.80292289314332
155.24332218628226,163.0368136632669
133.42692281204893,139.70823809089876
211.9022189873748,224.52400990090263
153.98543748226803,137.21278383114637
131.32311983096122,140.3515031325276
191.4718067848377,186.11826988229512
246.1505854037978,251.12018287123212
168.29078989279552,190.20309779718016
197.8594116053141,204.1934059658857
151.44062072625337,170.1313222036389
160.77167541002126,185.8513725928901
127.16363556835152,147.60948862243546
222.23719300574572,164.94946148516814
99.24086292564863,131.87560778750364
167.00779048511603,193.85066946220246
108.14000324946329,151.84933169470153
234.0548938126684,204.55679643862018
197.9464924313588,159.5551610750599
183.31890541002682,169.81434361886733
212.3955922206252,159.15450931476886
229.21107391142857,219.71520805597862
234.19903331685813,387.2082423559395
91.48712415267245,107.91259594137236
211.69820702308826,170.87887158143937
121.14080584897387,158.2817330770759
216.08366132769714,135.50792297165526
207.34242651878398,136.91444438326894
106.57782419161762,152.71809250413241
244.05278070212668,193.59635717365205
204.0996185223048,164.43032930792387
162.98000743682556,136.0891649827607
154.3619315673114,141.951316839858
165.70948940531756,140.6990613995492
237.2218408168473,154.11668851007713
