resnet50_loss,bootstrapping1,bootstrapping2,bootstrapping3
156.42021519330146,155.14851899929963,152.3500762916303,147.71168493721868
115.66949378194452,72.81115042136167,89.4694891888964,77.01125955221384
91.13781104480015,94.71581120455204,95.86097117465052,89.09730227423445
190.2892638377501,205.66205029555996,204.2511897760872,196.0161073871037
167.28581508078213,168.33735942093296,174.39397277357045,169.49353791064786
219.43749823495202,208.21827313519915,215.97289029212902,217.4192688968228
133.73197124934686,130.8441170953017,138.26228757881657,138.5976780015364
159.30941831789386,186.27014843077782,173.54990787985423,168.8253658415199
139.18971397336705,152.21714266265894,147.53994022300606,147.1487719599592
174.98111119591252,180.02326469135707,176.45503733579704,186.17499699073844
240.03192619466537,212.16037470493077,217.0316562866653,229.9906947095061
142.31187246146763,135.881779498929,139.3162991907791,132.4904247249271
132.31102493426997,137.36261211450386,144.1034868408118,135.29030827005082
127.06133823018337,118.021909947402,118.07846414895904,115.01192980365177
193.60147810747466,187.84803603447773,190.0059983776342,189.75236494285875
144.07469729727234,152.00059692090315,143.01675843489878,144.84719013811747
190.04246119449283,152.2328102564463,170.95615367867467,154.69304157843476
201.47073506409095,202.3689328725747,197.63209217078384,189.3457881079144
240.58213636341858,190.96349199934411,280.38708777704414,268.41351757712283
205.4433504129341,177.50716196817314,181.92475444196967,172.20084302501675
132.65720493755808,151.79388975270297,134.22384514243697,131.92385738363998
228.627037626518,240.91926296874408,252.1925799041589,238.93142995115699
190.06293904759795,224.2924152045854,186.2949944585471,164.0106019929612
176.39416105371305,171.58408138827338,173.92818432689307,170.1965442512199
203.8012790165968,195.71482685885533,201.1535967397586,191.24298155729943
153.2331898480013,149.12962564692037,138.28793181474126,139.47450345732366
190.879519950794,169.1429831470893,195.86293500642952,202.5557634415495
146.92126257359394,152.26938174883009,139.36157539044171,141.9175377655531
176.290426599745,162.34304468634545,155.7017893764669,154.09149779875366
183.69731973802052,165.87897358671282,171.42831771043078,162.20435675754817
169.7122799407195,151.47050671372241,168.5205258883628,158.788568868264
